review,rating,date
"Mohon dipertimbangkan agar tampilan awal aplikasi tidak langsung menampilkan Shopee Live. Setiap kali membuka aplikasi, langsung diarahkan ke live streaming terasa mengganggu, apalagi jika hanya ingin belanja biasa. Akan lebih nyaman jika pengguna bisa mengatur tampilan awal sesuai preferensi, misalnya langsung ke halaman Beranda atau Promo. Terima kasih atas perhatiannya, semoga Shopee terus berkembang menjadi lebih baik!",2,2025-06-03 13:37:55
"app berat, loading lama, tolong dong klo buka app jangan langsung masuk halaman video berat terus kalo dipindah juga suara dari videonya gak mati dan tetep bunyi. sumpah bereneran tolong dibenerin, capek banget tiap masuk app pasti kayak gitu terus, baru update juga gak ada perubahan sebenernya yang diupdate apanya sih.",2,2025-06-02 08:46:33
"sebenarnya suka sama aplikasinya, cuman keseringan di update! smpe 3-4× update dlm sebulan😐 klw gk di update suka ngelag, kadang aplikasinya kluar sendiri🗿rada kesal juga yaa! terus pengirimannya juga sekarang agak lambat, gk kayak dulu cepat! terus harus di tegasin dulu baru ngajuin pengiriman:v",3,2025-06-02 02:45:07
"Awal nya enak pengiriman cepat pakai J&T, sekarang lambat sangat, J&T di hapus, jadi kecewa sama ekspedisi lain terlalu lambat, tolong aktif kan lg tu J&T, biar ga pelaanggan ga pada kecewa, karna ekspedisi yg lambat, super lelet.",1,2025-06-03 08:52:11
"Aplikasinya sih simple cuma yg sedikit saya tidak suka, kadang saat melakukan check out untuk membuat pesanan, harga satuan barang jadi berubah tanpa ada keterangan. Biasanya kalau jejadian seperti ini, saya langsung beralih ke platform/market place yg lain",4,2025-06-02 03:40:41
Kenapa sekarang2 setiap buka aplikasi Shopee selalu saja ada Iklan Video yg langsung muncul & susah banget di berhenti kan nya.. sampai aplikasi Shopee di keluarkan juga masih tetap saja Video nya nyala ngomong terus.. Tolong perbaiki itu Jangan ada iklan Video setiap buka aplikasi Shopee. Terima Kasih,1,2025-06-02 23:41:10
"Menurut saya... Aplikasinya ter_lampau Berat.., untuk Hp kelas HiEnd / spek tinggi mungkin tidak masalah, tp untuk Hp Performance Menengah... sangat Berat. Untuk melihat satu barang / gambar aja, butuh waktu... dan bisa force close / nutup sendiri...",4,2025-05-23 16:29:20
"aplikasinya udah bagus tapi saya jasa pengiriman barangnya, sangat buruk spx ini adalah jasa pengiriman paling lambat dan buat emosi, di aplikasi status paket telah di antar ke alamat tujuan, tapi nga nyampe2 kurirnya juga nga ada konfirmasi di chat nga di bales, kalau mau shoope berkembang lebih baik perbaiki jasa pengiriman dan tolong tambahkan fitur agar pemilik barang dapat melihat nomor kurir yang mengantar barang.",1,2025-06-03 09:08:19
"ini app market yg overall menurut aku udah bgus sih, diskonnya juga lumayan ² tapi kadang suka ngebug gitu, waktu itu aku pesen case hp, nah setelah itu biasanya kan kita bisa liat profil pengirimannnya kan? biasanya ada muncul tanda merah gitu nah setelah aku co, profil pengirimannnya ga muncul.. jadi kita gabisa liat barangnya udah dikemas/dalam perjalanan sering bgt ngelag gini di aku.. tolong perbaikannya ya",5,2025-05-10 15:34:02
"Sering ngebug, saat ketik tulisan, tiba-tiba ke pencarian produk,,, mau ngetik dimanapun.. Saat mau upload produkpun saat ketik nama produk tiba-tiba di alihkan ke pencarian barang, sudah di hapus data, relog pun tetap sama, berarti emng sistemnya ada yg salah.. Mohon perbaiki sangat sangat mengganggu! ❌",1,2025-05-12 01:28:57
"Dari pengalaman saya menggunakan aplikasi ini, cukup membantu dalam berbelanja serta memilih produk yang diinginkan. Karena jika tidak tahu nama produk tersebut bisa di screenshot terlebih dahulu dan tinggal dicari dikolom pencairan menggunakan fitur yang berlogo kamera",5,2025-06-03 12:45:13
"Aplikasi yg oke dan mudah digunakan, banyak pilihan cara pembayaran. Ada sistem COD, jadi bayar begitu barang sampe, baru bs dibuka. Hanya harus pintar pilih seller, harga dan cek rekomendasi dari pembeli sebelumnya. over all oke. sayangnya belom pernah dapet hadiah hehe",5,2025-06-03 10:08:19
"saya pengguna baru shopee dan aplikasinya sangat bagus,tapi hanya satu kekurangan aplikasi ini yaitu pengiriman barangnya sangat lambat, kadang barang yg di pesan lama banget datangnya kadang hampir seminggu lebih barang yg di pesan baru datang, padahal klo di pikir saya pesannya pakai cod tapi lama banget pengirimannya,selain dari itu sangat bagus aplikasinya.",5,2025-06-02 13:21:32
"shopee sangat membantu apalagi untuk kebutuhan sehari-hari ,tapi sayangnya untuk voucher gratis ongkirnya jarang banget akhir akhir ini ada di akun ku jadi bayar lebih untuk ongkir,dan juga jika memerlukan barang yang terdesak dan besok harinya harus sampai ,susah dapat barang yang ngedukung pengiriman instanst besok tiba sekalinya ada voucher gratis ongkir untuk pengiriman instanstnya jarang dapet jdi lebih mahal,terkadang pengiriman instanst harga ongkirnya melebihi harga barang",5,2025-06-03 12:44:53
"kenapa kalau mau iklan susah bgt ya, dan pada merk tertentu iklan nya suka di blokir, Ket. terindikasi palsu/imitasi pada hal yg kita jual produk asli, dan beli nya pun saya di store yg resmi akibat nya iklan. saya TDK bisa tayang, :(",5,2025-06-02 16:24:21
"Belanja di Shopee Sangat memuaskan, jaminan barang nya tiba tepat waktu dan barang bagus dan beragam, pokok nya bisa memenuhi semua kebutuhan pribadi dan keluarga.. mau butuh apa saja bisa di dapat di Shopee... selain itu kita juga bisa memilih dgn harga dan kualitas yang sesuai dengan budget, semoga Shopee terus meningkat kan toko "" sehingga kita Ndak perlu kemana mana lagi...",5,2025-06-03 12:19:23
"Overall bagus, hanya saja akan lebih nyaman kalau ada fitur dark mode/light mode yang bisa di sesuaikan oleh para pengguna.. Agar bisa menyesuaikan, contohnya saja spt saya yang lebih suka tampilan dark mode spt di app hijau. karena ada fitur dark mode dan light mode.. saya jadi bisa menyesuaikan tema yang ingin saya pakai. ya walaupun gak semua butuh fitur ini di aplikasi olshop, tp di era sekarang fitur tsb tidak harus ada di app sosmed saja",5,2025-06-01 00:46:43
"Halo tim dukungan, Saya mengalami masalah dengan fitur PayLater yang saat ini tidak dapat saya akses. Sebelumnya, saya selalu menggunakan layanan ini dengan baik dan melakukan pembayaran tepat waktu. Namun, tiba-tiba fitur tersebut tidak bisa digunakan. Saya mohon bantuannya untuk meninjau kembali akun saya dan mengaktifkan kembali fitur PayLater, karena fitur ini sangat membantu saya dalam bertransaksi. Saya juga telah melampirkan tangkapan layar terkait sebagai bahan pertimbangan. Terima ka",5,2025-06-02 12:32:55
